클립 FFE80A3B의 길이: 629초, 	'Turn'의 False 비율: 96.18%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A3C의 길이: 510초, 	'Turn'의 False 비율: 91.96%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A3E의 길이: 632초, 	'Turn'의 False 비율: 95.09%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A3F의 길이: 665초, 	'Turn'의 False 비율: 94.29%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A40의 길이: 481초, 	'Turn'의 False 비율: 96.05%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A41의 길이: 455초, 	'Turn'의 False 비율: 91.65%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A42의 길이: 611초, 	'Turn'의 False 비율: 94.76%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A43의 길이: 619초, 	'Turn'의 False 비율: 94.83%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A44의 길이: 521초, 	'Turn'의 False 비율: 95.78%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A45의 길이: 475초, 	'Turn'의 False 비율: 95.58%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A46의 길이: 594초, 	'Turn'의 False 비율: 95.12%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
